id;name;description;code
1;International Movies;Intelligent Wooden Gloves Jordanian Dinar;Arizona
2;Engineer Managed 1080p;De-engineered;Centralized Springs
3;Gorgeous;Technician override;TCP
4;bus back-end;California;Chief New York
5;solid state;SCSI Chair optical;Home Loan Account Internal
6;Games;Circles Cambridgeshire;Division
7;vortals withdrawal gold;embrace scale Licensed;transmit
8;calculate connecting;Tuna maroon;teal zero administration
9;Fish;Iraq Baby;Refined virtual
10;United States Minor Outlying Islands;backing up;Parkway Rubber
